+-----+---------------------+----------+
| key |        date         |  value   |
| uu2 | 2017-04-09 06:00:00 |    94991 |
| uu3 | 2017-04-09 06:00:00 |   879328 |
| uu4 | 2017-04-09 06:00:00 |   922916 |
| uu1 | 2017-04-09 05:00:00 |   228655 |
| uu2 | 2017-04-09 05:00:00 |    53856 |
| uu3 | 2017-04-09 05:00:00 |   683709 |
| uu4 | 2017-04-09 05:00:00 |   840445 |
| uu1 | 2017-04-09 04:00:00 |   216126 |
| uu2 | 2017-04-09 04:00:00 |    48006 |
| uu3 | 2017-04-09 04:00:00 |   685628 |
| uu4 | 2017-04-09 04:00:00 |   789025 |
| uu1 | 2017-04-09 03:00:00 |   301013 |
| uu2 | 2017-04-09 03:00:00 |    68213 |
| uu3 | 2017-04-09 03:00:00 |   821035 |
| uu4 | 2017-04-09 03:00:00 |   798592 |
| uu1 | 2017-04-09 02:00:00 |   348713 |
| uu2 | 2017-04-09 02:00:00 |    77929 |
| uu3 | 2017-04-09 02:00:00 |   972919 |
| uu4 | 2017-04-09 02:00:00 |   830730 |
| uu1 | 2017-04-09 01:00:00 |   510216 |
| uu2 | 2017-04-09 01:00:00 |   100704 |
| uu3 | 2017-04-09 01:00:00 |  1207882 |
| uu4 | 2017-04-09 01:00:00 |   992130 |
| uu1 | 2017-04-09 00:00:00 |   760341 |
| uu2 | 2017-04-09 00:00:00 |   169692 |
| uu3 | 2017-04-09 00:00:00 |  1643558 |
| uu4 | 2017-04-09 00:00:00 |  1082817 |
| uu1 | 2017-04-08 22:00:00 |  1756235 |
| uu2 | 2017-04-08 22:00:00 |   757014 |
| uu3 | 2017-04-08 22:00:00 |  2770813 |
| uu4 | 2017-04-08 22:00:00 |  1534680 |
| uu1 | 2017-04-08 21:00:00 |  2142699 |
| uu2 | 2017-04-08 21:00:00 |   968563 |
| uu3 | 2017-04-08 21:00:00 |  3169899 |
| uu4 | 2017-04-08 21:00:00 |  1681613 |
| uu1 | 2017-04-08 20:00:00 |  2227452 |
| uu2 | 2017-04-08 20:00:00 |  1061388 |
| uu3 | 2017-04-08 20:00:00 |  3212612 |
| uu4 | 2017-04-08 20:00:00 |  1732850 |
| uu1 | 2017-04-08 19:00:00 |  2249612 |
| uu2 | 2017-04-08 19:00:00 |  1087560 |
| uu3 | 2017-04-08 19:00:00 |  3203677 |
| uu4 | 2017-04-08 19:00:00 |  2119947 |
| uu1 | 2017-04-08 18:00:00 |  2308088 |
| uu2 | 2017-04-08 18:00:00 |  1081760 |
| uu3 | 2017-04-08 18:00:00 |  3242182 |
| uu4 | 2017-04-08 18:00:00 |  1819495 |
| uu1 | 2017-04-08 17:00:00 |  2509818 |
| uu2 | 2017-04-08 17:00:00 |  1191862 |
| uu3 | 2017-04-08 17:00:00 |  3366260 |
| uu4 | 2017-04-08 17:00:00 |  1827477 |
| uu1 | 2017-04-08 16:00:00 |  2676397 |
| uu2 | 2017-04-08 16:00:00 |  1255352 |
| uu3 | 2017-04-08 16:00:00 |  3442162 |
| uu4 | 2017-04-08 16:00:00 |  1921516 |
| uu1 | 2017-04-08 15:00:00 |  2625729 |
| uu2 | 2017-04-08 15:00:00 |  1230760 |
| uu3 | 2017-04-08 15:00:00 |  3393178 |
| uu4 | 2017-04-08 15:00:00 |  1899711 |
| uu1 | 2017-04-08 14:00:00 |  2611948 |
| uu2 | 2017-04-08 14:00:00 |  1213476 |
| uu3 | 2017-04-08 14:00:00 |  3382609 |
| uu4 | 2017-04-08 14:00:00 |  1901096 |
| uu1 | 2017-04-08 13:00:00 |  2557940 |
| uu2 | 2017-04-08 13:00:00 |  1159526 |
| uu3 | 2017-04-08 13:00:00 |  3391545 |
| uu4 | 2017-04-08 13:00:00 |  1871423 |
| uu1 | 2017-04-08 12:00:00 |  2441596 |
